芙蓉公寓 4室2厅 3500元,芙蓉公寓  ,马王堆租房,4室2厅  ,148平米  ,南,随时看房,3500,1,furong
维力花园 2室1厅 1500元,维力花园  ,德政园租房,2室1厅  ,79平米  ,南,距离2号线锦泰广场站724米,1500,3,furong
业主诚意出租，价格优惠，房子大,兰亭玥岛  ,新开铺租房,2室2厅  ,90平米  ,西,随时看房,2100,7,tianxin
长沙欧洲城 2室2厅 2600元,长沙欧洲城  ,德思勤租房,2室2厅  ,84平米  ,南,随时看房,2600,0,tianxin
保利三期优质四房，湘江东岸，省府之西,保利花园三期  ,省政府租房,4室2厅  ,156平米  ,东南,随时看房,3500,3,tianxin
鑫远湘府华城南区 2室2厅 2300元,鑫远湘府华城南区  ,湘府路租房,2室2厅  ,88平米  ,南,随时看房,2300,6,tianxin
湘府东苑 1室1厅 1500元,湘府东苑  ,湘府路租房,1室1厅  ,38平米  ,南,距离1号线省政府站858米,1500,7,tianxin
花漾年华 1室1厅 1450元,花漾年华  ,省政府租房,1室1厅  ,38平米  ,南 北,随时看房,1450,15,tianxin
长沙奥林匹克花园 3室2厅 3500元,长沙奥林匹克花园  ,德思勤租房,3室2厅  ,136平米  ,南,随时看房,3500,8,tianxin
长沙奥林匹克花园 3室1厅 1800元,长沙奥林匹克花园  ,德思勤租房,3室1厅  ,110平米  ,南,随时看房,1800,3,tianxin
湘府9号 2室1厅 2100元,湘府9号  ,德思勤租房,2室1厅  ,89平米  ,南,距离1号线省政府站860米,2100,7,tianxin
满庭芳 3室2厅 2300元,满庭芳  ,铁道学院租房,3室2厅  ,90平米  ,南,距离1号线友谊路站842米,2300,10,tianxin
湖光山色 两房，户型周正采光充足 。,天城湖光山色  ,省政府租房,2室2厅  ,90平米  ,南,随时看房,2000,2,tianxin
兰景花园 简单装修三房 低楼层 随时看房,兰景花园  ,铁道学院租房,3室2厅  ,108平米  ,南,随时看房,1900,1,tianxin
鑫远逸园 3室1厅 1800元,鑫远逸园  ,省政府租房,3室1厅  ,89平米  ,南,随时看房,1800,0,tianxin
绿地公馆 1室2厅 1800元,绿地公馆  ,省政府租房,1室2厅  ,52平米  ,东,距离1号线桂花坪站675米,1800,0,tianxin
全新装修，从未入住，适合居家陪读，小区环境优美,鑫远熙山  ,省政府租房,3室2厅  ,128平米  ,南 北,随时看房,2800,2,tianxin
荣悦台 3室2厅 3500元,荣悦台  ,黄土岭租房,3室2厅  ,124平米  ,南 北,距离1号线黄土岭站385米,3500,2,tianxin
办公居家两用   交通方便   省政府板块,标志商务中心  ,湘府路租房,1室1厅  ,60平米  ,南 北,距离1号线省政府站792米,2100,4,tianxin
梦网景园 3室2厅 4000元,梦网景园  ,湘府路租房,3室2厅  ,160平米  ,南,随时看房,4000,6,tianxin
贡院一号 3室2厅 3000元,贡院一号  ,德思勤租房,3室2厅  ,133平米  ,南,随时看房,3000,8,tianxin
长沙欧洲城 2室2厅 1800元,长沙欧洲城  ,德思勤租房,2室2厅  ,84平米  ,南,随时看房,1800,10,tianxin
柠檬丽都 正规大三房 全新家具 适合居家陪读,柠檬丽都  ,新开铺租房,3室2厅  ,116平米  ,南,距离1号线铁道学院站757米,3000,12,tianxin
长沙奥林匹克花园 2室1厅 2800元,长沙奥林匹克花园  ,德思勤租房,2室1厅  ,90平米  ,南,随时看房,2800,0,tianxin
天鸿中央大院 2室1厅 2300元,天鸿中央大院  ,铁道学院租房,2室1厅  ,65平米  ,南,距离1号线铁道学院站957米,2300,5,tianxin
和庄 3室1厅 2300元,和庄  ,新开铺租房,3室1厅  ,105平米  ,南,距离1号线友谊路站799米,2300,19,tianxin
和庄 3室1厅 3000元,和庄  ,新开铺租房,3室1厅  ,97平米  ,南,距离1号线友谊路站857米,3000,2,tianxin
童话里 3室2厅 2800元,童话里  ,新开铺租房,3室2厅  ,90平米  ,南,距离1号线友谊路站1086米,2800,3,tianxin
长沙欧洲城 3室2厅 3000元,长沙欧洲城  ,德思勤租房,3室2厅  ,133平米  ,南 北,随时看房,3000,7,tianxin
阳光嘉园 5室2厅 5000元,阳光嘉园  ,湘府路租房,5室2厅  ,193平米  ,南,随时看房,5000,3,tianxin
润屋美院 4室2厅 1800元,润屋美院  ,德思勤租房,4室2厅  ,123平米  ,南,随时看房,1800,0,tianxin
BOBO天下城 3室2厅 4500元,BOBO天下城  ,新开铺租房,3室2厅  ,196平米  ,南,距离1号线铁道学院站332米,4500,4,tianxin
湘府9号 2室1厅 2600元,湘府9号  ,德思勤租房,2室1厅  ,88平米  ,南,距离1号线省政府站1022米,2600,0,tianxin
博林金谷 4室2厅 10000元,博林金谷  ,新开铺租房,4室2厅  ,136平米  ,南,距离1号线铁道学院站488米,10000,1,tianxin
青园 2室2厅 2500元,青园  ,铁道学院租房,2室2厅  ,80平米  ,南,距离1号线友谊路站648米,2500,3,tianxin
南国嘉苑 5室2厅 5200元,南国嘉苑  ,新开铺租房,5室2厅  ,166平米  ,南,距离1号线铁道学院站724米,5200,1,tianxin
湘林小区 300平600平 商铺 入住率高,湘林小区  ,铁道学院租房,9室0厅  ,900平米  ,南,随时看房,54000,14,tianxin
天鸿中央大院 1室0厅 1600元,天鸿中央大院  ,铁道学院租房,1室0厅  ,40平米  ,南,随时看房,1600,15,tianxin
位置优越，环境舒适，交通便利。,长沙欧洲城  ,德思勤租房,2室2厅  ,89平米  ,南,距离1号线省政府站947米,3000,10,tianxin
保利花园，精装小三房，业主诚心出租，拎包入住,保利花园三期  ,省政府租房,3室2厅  ,83平米  ,南,随时看房,2000,11,tianxin
交通便利 居家装修  配套齐全,万事佳景园  ,金盆岭租房,3室2厅  ,130平米  ,北,随时看房,2700,10,tianxin
湘府9号 2室2厅 2200元,湘府9号  ,德思勤租房,2室2厅  ,80平米  ,南,距离1号线省政府站921米,2200,13,tianxin
loft复式格局，空间大，深受年轻人的喜爱,他城时代公寓  ,铁道学院租房,2室1厅  ,40平米  ,南,精装修,1800,20,tianxin
天鸿中央大院 2室1厅 2700元,天鸿中央大院  ,铁道学院租房,2室1厅  ,75平米  ,南,随时看房,2700,4,tianxin
员工宿舍 湘林小区 三房130平 2400,湘林小区  ,铁道学院租房,3室1厅  ,130平米  ,南,随时看房,2400,1,tianxin
长沙欧洲城 2室2厅 2500元,长沙欧洲城  ,德思勤租房,2室2厅  ,89平米  ,南,随时看房,2500,4,tianxin
满庭芳 2室1厅 2400元,满庭芳  ,铁道学院租房,2室1厅  ,75平米  ,南,距离1号线友谊路站842米,2400,16,tianxin
天鸿中央大院 2室1厅 2100元,天鸿中央大院  ,铁道学院租房,2室1厅  ,63平米  ,南,随时看房,2100,4,tianxin
万事佳景园 2室2厅 2000元,万事佳景园  ,金盆岭租房,2室2厅  ,93平米  ,西南,随时看房,2000,6,tianxin
精装出租两房，毛坯，欧洲城包物业.........,长沙欧洲城  ,德思勤租房,2室2厅  ,90平米  ,南,随时看房,1800,1,tianxin
鑫远湘府华城北区 4室2厅 4000元,鑫远湘府华城北区  ,铁道学院租房,4室2厅  ,144平米  ,南,距离1号线友谊路站803米,4000,0,tianxin
和庄 3室2厅 2500元,和庄  ,新开铺租房,3室2厅  ,106平米  ,南,距离1号线友谊路站766米,2500,0,tianxin
天鸿中央大院 2室1厅 2700元,天鸿中央大院  ,铁道学院租房,2室1厅  ,80平米  ,南,距离1号线铁道学院站1003米,2700,2,tianxin
标志浪漫满屋 2室2厅 2600元,标志浪漫满屋  ,新开铺租房,2室2厅  ,90平米  ,南,随时看房,2600,0,tianxin
天鸿中央大院 2室1厅 2400元,天鸿中央大院  ,铁道学院租房,2室1厅  ,55平米  ,北,距离1号线铁道学院站957米,2400,8,tianxin
滨江美寓 4室2厅 4000元,滨江美寓  ,开福区政府租房,4室2厅  ,164平米  ,南,距离1号线马厂站764米,4000,0,kaifu
北辰三角洲奥城D3区 3室2厅 3300元,北辰三角洲奥城D3区  ,北辰三角洲租房,3室2厅  ,100平米  ,南,距离1号线北辰三角洲站596米,3300,1,kaifu
恒鑫澜北湾 4室2厅 3500元,恒鑫澜北湾  ,开福区政府租房,4室2厅  ,134平米  ,南 北,随时看房,3500,2,kaifu
万科城 3室2厅 3000元,万科城  ,福元西路租房,3室2厅  ,90平米  ,南,距离1号线马厂站967米,3000,4,kaifu
富湾国际 4室1厅 7500元,富湾国际  ,开福区政府租房,4室1厅  ,260平米  ,南,随时看房,7500,5,kaifu
北辰三角洲D2区 2室1厅 3200元,北辰三角洲D2区  ,北辰三角洲租房,2室1厅  ,88平米  ,南,距离1号线北辰三角洲站193米,3200,2,kaifu
湘江豪庭一楼可商用办公培训，紧挨世纪金源。,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南 北,距离1号线马厂站1025米,8500,25,kaifu
顺天黄金海岸 4室2厅 3000元,顺天黄金海岸  ,开福区政府租房,4室2厅  ,140平米  ,南,距离1号线马厂站575米,3000,19,kaifu
南北通透的精装空房南北通透大三房，主卧南北通透。,珠江花城四期  ,福元西路租房,3室2厅  ,122平米  ,南 北,距离1号线马厂站1126米,2800,4,kaifu
北辰三角洲D2区 2室2厅 3500元,北辰三角洲D2区  ,北辰三角洲租房,2室2厅  ,88平米  ,南,距离1号线北辰三角洲站306米,3500,1,kaifu
湘江豪庭 4室1厅 6000元,湘江豪庭  ,开福区政府租房,4室1厅  ,198平米  ,南,随时看房,6000,15,kaifu
湘江豪庭 4室1厅 5000元,湘江豪庭  ,开福区政府租房,4室1厅  ,199平米  ,南 北,距离1号线马厂站1025米,5000,8,kaifu
湘江豪庭 4室1厅 7000元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南,距离1号线马厂站1025米,7000,8,kaifu
业主诚心出租，价格优惠，万科自带物业。,万科城  ,福元西路租房,3室2厅  ,90平米  ,南,随时看房,2700,11,kaifu
北辰三角洲奥城D3区 2室1厅 3000元,北辰三角洲奥城D3区  ,北辰三角洲租房,2室1厅  ,88平米  ,南,距离1号线北辰三角洲站580米,3000,6,kaifu
先锋水韵花都 3室2厅 3200元,先锋水韵花都  ,开福区政府租房,3室2厅  ,103平米  ,南,距离1号线马厂站324米,3200,10,kaifu
业主诚心出租，价格优惠，万科自带物业。,万科城  ,福元西路租房,3室2厅  ,87平米  ,南,随时看房,3000,6,kaifu
世纪城悦江苑 2室2厅 2300元,世纪城悦江苑  ,湘江世纪城租房,2室2厅  ,92平米  ,南,距离1号线开福区政府站1108米,2300,11,kaifu
世纪城赏江苑 2室2厅 2400元,世纪城赏江苑  ,湘江世纪城租房,2室2厅  ,100平米  ,南 北,距离1号线开福区政府站987米,2400,21,kaifu
湘江豪庭正规大四房 大阳台 可商用 随时可以看房 。,湘江豪庭  ,开福区政府租房,4室2厅  ,200平米  ,南,距离1号线马厂站1025米,6000,45,kaifu
湘江豪庭大四房，适合办公，办公装修。,湘江豪庭  ,开福区政府租房,4室2厅  ,200平米  ,南,距离1号线马厂站908米,5500,19,kaifu
湘江豪庭 4室1厅 8000元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,东,随时看房,8000,7,kaifu
珠江花城一期 3室1厅 2500元,珠江花城一期  ,福元西路租房,3室1厅  ,105平米  ,南,距离1号线马厂站723米,2500,2,kaifu
万国城MOMA一期 3室2厅 3500元,万国城MOMA一期  ,福元西路租房,3室2厅  ,142平米  ,南 北,随时看房,3500,4,kaifu
世纪城映江苑 2室1厅 2500元,世纪城映江苑  ,湘江世纪城租房,2室1厅  ,94平米  ,南 北,随时看房,2500,4,kaifu
世纪城达江苑 3室1厅 2800元,世纪城达江苑  ,湘江世纪城租房,3室1厅  ,96平米  ,南 北,距离1号线开福区政府站1050米,2800,2,kaifu
高楼层，精装全南户型大三房，带车位，有钥匙随时看房,世纪城贯江苑  ,湘江世纪城租房,3室2厅  ,126平米  ,南,随时看房,3200,27,kaifu
万国城MOMA二期 2室2厅 2500元,万国城MOMA二期  ,福元西路租房,2室2厅  ,87平米  ,南,随时看房,2500,5,kaifu
北辰三角洲奥城E3区 3室2厅 4600元,北辰三角洲奥城E3区  ,北辰三角洲租房,3室2厅  ,112平米  ,西南,距离1号线开福寺站1092米,4600,4,kaifu
湘江豪庭 4室1厅 5800元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南,随时看房,5800,4,kaifu
湘江豪庭 4室1厅 5800元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南,随时看房,5800,4,kaifu
万科城 3室2厅 3200元,万科城  ,福元西路租房,3室2厅  ,122平米  ,南,距离1号线马厂站824米,3200,5,kaifu
世纪城鸿江苑 3室2厅 3000元,世纪城鸿江苑  ,湘江世纪城租房,3室2厅  ,144平米  ,南 北,距离1号线开福区政府站1007米,3000,4,kaifu
珠江花城三期 3室1厅 2800元,珠江花城三期  ,福元西路租房,3室1厅  ,98平米  ,南,距离1号线马厂站380米,2800,0,kaifu
北辰三角洲奥城E5区 1室1厅 1800元,北辰三角洲奥城E5区  ,北辰三角洲租房,1室1厅  ,40平米  ,南,距离1号线北辰三角洲站842米,1800,0,kaifu
北辰三角洲D2区 3室2厅 4500元,北辰三角洲D2区  ,北辰三角洲租房,3室2厅  ,106平米  ,东南,距离1号线北辰三角洲站583米,4500,0,kaifu
万国城MOMA一期 3室2厅 3500元,万国城MOMA一期  ,福元西路租房,3室2厅  ,143平米  ,南 北,随时看房,3500,3,kaifu
湘江豪庭 4室2厅 9000元,湘江豪庭  ,开福区政府租房,4室2厅  ,200平米  ,南,距离1号线马厂站908米,9000,2,kaifu
珠江花城扶水岸三房出租，拎包入住,珠江花城二期  ,福元西路租房,3室2厅  ,130平米  ,南 北,距离1号线马厂站810米,3000,13,kaifu
第一湾 3室2厅 2500元,第一湾  ,四方坪租房,3室2厅  ,92平米  ,南,随时看房,2500,12,kaifu
君悦香邸 3室1厅 3000元,君悦香邸  ,北辰三角洲租房,3室1厅  ,98平米  ,南,距离1号线北辰三角洲站559米,3000,12,kaifu
业主自住的装修，每个房间都装了暖气片，家居用的很好,万科城  ,福元西路租房,3室2厅  ,90平米  ,东南,随时看房,2800,7,kaifu
北辰三角洲奥城E3区 1室1厅 4000元,北辰三角洲奥城E3区  ,北辰三角洲租房,1室1厅  ,52平米  ,南,距离1号线开福寺站1092米,4000,7,kaifu
北辰三角洲奥城D3区 3室1厅 4000元,北辰三角洲奥城D3区  ,北辰三角洲租房,3室1厅  ,101平米  ,南,距离1号线北辰三角洲站643米,4000,9,kaifu
北辰三角洲奥城E4区 3室2厅 3800元,北辰三角洲奥城E4区  ,北辰三角洲租房,3室2厅  ,107平米  ,南,随时看房,3800,7,kaifu
湘江北尚 2室1厅 2400元,湘江北尚  ,北辰三角洲租房,2室1厅  ,94平米  ,南,距离1号线北辰三角洲站516米,2400,3,kaifu
万国城MOMA一期 3室1厅 3000元,万国城MOMA一期  ,福元西路租房,3室1厅  ,128平米  ,南,随时看房,3000,9,kaifu
北辰三角洲D2区 3室1厅 3800元,北辰三角洲D2区  ,北辰三角洲租房,3室1厅  ,106平米  ,东南,距离1号线北辰三角洲站404米,3800,5,kaifu
万国城MOMA一期 3室2厅 3200元,万国城MOMA一期  ,福元西路租房,3室2厅  ,130平米  ,南 北,随时看房,3200,10,kaifu
珠江郦城薰衣道 3室2厅 2400元,珠江郦城薰衣道  ,福元西路租房,3室2厅  ,94平米  ,南,距离1号线马厂站1086米,2400,2,kaifu
万科城 3室1厅 2400元,万科城  ,福元西路租房,3室1厅  ,90平米  ,南,随时看房,2400,2,kaifu
万国城三期 3室2厅 2600元,万国城三期  ,福元西路租房,3室2厅  ,94平米  ,南,随时看房,2600,3,kaifu
万国城三期 3室2厅 2500元,万国城三期  ,福元西路租房,3室2厅  ,90平米  ,南,随时看房,2500,1,kaifu
万国城三期 3室1厅 2500元,万国城三期  ,福元西路租房,3室1厅  ,90平米  ,南,随时看房,2500,5,kaifu
听香水榭 新装修 可居家 可办公,听香水榭  ,四方坪租房,3室2厅  ,90平米  ,南,随时看房,2500,4,kaifu
世纪城映江苑 3室1厅 2700元,世纪城映江苑  ,湘江世纪城租房,3室1厅  ,116平米  ,南,随时看房,2700,4,kaifu
业主诚心出租，价格优惠，万科自带物业,万科城  ,福元西路租房,2室2厅  ,76平米  ,南,随时看房,2300,1,kaifu
第 一 湾 精装一房，随时看房，拎包入住,第一湾  ,四方坪租房,1室1厅  ,44平米  ,北,随时看房,1800,37,kaifu
业主诚心出租，看房方便，随时恭候租房的您,珠江郦城薰衣道  ,福元西路租房,3室2厅  ,98平米  ,南,距离1号线马厂站1086米,2800,5,kaifu
沁园春御院 3室1厅 3200元,沁园春御院  ,河西步步高租房,3室1厅  ,111平米  ,南,随时看房,3200,7,yuelu
高鑫麓城 3室2厅 2500元,高鑫麓城  ,商学院租房,3室2厅  ,90平米  ,南,随时看房,2500,13,yuelu
未来城 1室1厅 1500元,未来城  ,河西人人乐租房,1室1厅  ,43平米  ,西,随时看房,1500,5,yuelu
达美D6区 3室1厅 3300元,达美D6区  ,汽车西站租房,3室1厅  ,89平米  ,南,距离2号线望城坡站571米,3300,6,yuelu
未来城 2室2厅 1900元,未来城  ,河西人人乐租房,2室2厅  ,74平米  ,东南,随时看房,1900,23,yuelu
钰龙天下二期 2室1厅 2400元,钰龙天下二期  ,市政府租房,2室1厅  ,80平米  ,南,随时看房,2400,0,yuelu
达美D6区 3室2厅 3400元,达美D6区  ,汽车西站租房,3室2厅  ,90平米  ,南,距离2号线望城坡站571米,3400,2,yuelu
宜居莱茵城 3室1厅 2500元,宜居莱茵城  ,河西人人乐租房,3室1厅  ,100平米  ,南,随时看房,2500,2,yuelu
咸嘉西子园 3室2厅 2300元,咸嘉西子园  ,河西步步高租房,3室2厅  ,106平米  ,北,随时看房,2300,6,yuelu
未来城 1室1厅 1500元,未来城  ,河西人人乐租房,1室1厅  ,40平米  ,南,随时看房,1500,14,yuelu
沁园春御院 1室1厅 2500元,沁园春御院  ,河西步步高租房,1室1厅  ,44平米  ,南,随时看房,2500,8,yuelu
长房时代城 1室1厅 1600元,长房时代城  ,河西人人乐租房,1室1厅  ,36平米  ,南,随时看房,1600,7,yuelu
郡原广场 1室1厅 1750元,郡原广场  ,河西步步高租房,1室1厅  ,38平米  ,南,随时看房,1750,4,yuelu
钰龙天下 2室1厅 2200元,钰龙天下  ,市政府租房,2室1厅  ,78平米  ,南,随时看房,2200,1,yuelu
奥克斯中央公馆 3室1厅 3800元,奥克斯中央公馆  ,银盆岭租房,3室1厅  ,108平米  ,南,随时看房,3800,0,yuelu
山水誉峰 4室2厅 2500元,山水誉峰  ,桐梓坡租房,4室2厅  ,127平米  ,南,随时看房,2500,1,yuelu
星蓝湾 3室2厅 3500元,星蓝湾  ,滨江新城租房,3室2厅  ,137平米  ,南,随时看房,3500,0,yuelu
桐梓坡西路欧式风格三房步行两百米到王F井步步高,沁园春御院  ,河西步步高租房,3室2厅  ,102平米  ,南,随时看房,2400,15,yuelu
沁园春御院 1室1厅 1800元,沁园春御院  ,河西步步高租房,1室1厅  ,43平米  ,南,随时看房,1800,25,yuelu
西湖丽景 3室2厅 3150元,西湖丽景  ,桐梓坡租房,3室2厅  ,130平米  ,南,随时看房,3150,9,yuelu
宜居莱茵城 2室2厅 2300元,宜居莱茵城  ,河西人人乐租房,2室2厅  ,90平米  ,南,随时看房,2300,1,yuelu
万科里梅溪郡 3室2厅 3800元,万科里梅溪郡  ,岳麓其他租房,3室2厅  ,122平米  ,南,随时看房,3800,0,yuelu
世茂铂翠湾，环境地理位置适合办公,世茂铂翠湾  ,滨江新城租房,3室1厅  ,96平米  ,南,随时看房,3000,7,yuelu
钰龙天下佳园二期三居室采光良好,钰龙天下二期  ,市政府租房,3室2厅  ,117平米  ,南,随时看房,2200,6,yuelu
西城龙庭 4室2厅 3200元,西城龙庭  ,河西步步高租房,4室2厅  ,131平米  ,南 北,随时看房,3200,3,yuelu
恒大华府 2室2厅 2300元,恒大华府  ,市政府租房,2室2厅  ,90平米  ,南,随时看房,2300,5,yuelu
宜居莱茵城 2室1厅 2200元,宜居莱茵城  ,河西人人乐租房,2室1厅  ,85平米  ,南,随时看房,2200,1,yuelu
卓越蔚蓝海岸三期 3室2厅 2500元,卓越蔚蓝海岸三期  ,市政府租房,3室2厅  ,90平米  ,南,随时看房,2500,1,yuelu
兰亭都荟 3室2厅 3000元,兰亭都荟  ,桐梓坡租房,3室2厅  ,90平米  ,南,随时看房,3000,2,yuelu
绿地中央广场 3室2厅 3000元,绿地中央广场  ,观沙岭租房,3室2厅  ,98平米  ,南,随时看房,3000,4,yuelu
钰龙天下佳园二期三居室采光良好,钰龙天下二期  ,市政府租房,3室2厅  ,117平米  ,南,随时看房,2200,6,yuelu
长房时代城 3室1厅 3200元,长房时代城  ,河西人人乐租房,3室1厅  ,91平米  ,南,随时看房,3200,8,yuelu
美林银谷国际社区 3室1厅 3280元,美林银谷国际社区  ,河西步步高租房,3室1厅  ,134平米  ,南,随时看房,3280,1,yuelu
奥克斯广场商圈，板楼，环境物业好,世茂铂翠湾  ,滨江新城租房,4室2厅  ,130平米  ,南,随时看房,3000,1,yuelu
水木兰庭 3室1厅 1500元,水木兰庭  ,河西人人乐租房,3室1厅  ,105平米  ,南,随时看房,1500,0,yuelu
景秀江山 2室1厅 2500元,景秀江山  ,银盆岭租房,2室1厅  ,86平米  ,南,随时看房,2500,0,yuelu
郡原广场 2室1厅 2600元,郡原广场  ,河西步步高租房,2室1厅  ,69平米  ,东 西,随时看房,2600,0,yuelu
岳麓现代城 4室2厅 6800元,岳麓现代城  ,溁湾镇租房,4室2厅  ,168平米  ,南,距离2号线溁湾镇站1014米,6800,0,yuelu
旭辉御府 2室2厅 2400元,旭辉御府  ,梅溪湖北岸租房,2室2厅  ,80平米  ,南,随时看房,2400,0,yuelu
